Community Lot ID,NH Task Name,Tickets Name,Created By: Full Name,Design QA Score,Design QA Date,Design QA Result
a3TUS00000B1eoZ,Design QA,QA-001,Mary Genevieve Mendoza,100,9/4/2026,Pass
a3TUS00000B1HiN,Design QA,QA-001,Mary Genevieve Mendoza,100,6/25/2026,Pass
a3TUS00000B1dlt,Design QA,QA-001,Mary Genevieve Mendoza,98,6/15/2026,Fail
a3TUS00000B1p0u,Design QA,QA-001,Mary Genevieve Mendoza,100,6/17/2026,Pass
a3TUS00000B3OAm,Design QA,QA-001,Mary Genevieve Mendoza,96,5/29/2026,Fail
a3TUS00000B3OAl,Design QA,QA-001,Mary Genevieve Mendoza,100,5/28/2026,Pass
a3TUS00000B3OAn,Design QA,QA-001,Mary Genevieve Mendoza,96,5/29/2026,Fail
a3TUS00000B3OAo,Design QA,QA-001,Mary Genevieve Mendoza,100,5/28/2026,Pass
a3TUS00000B4n5T,Design QA,QA-001,Mary Genevieve Mendoza,99,7/13/2026,Fail
a3TUS00000B4n5W,Design QA,QA-001,Mary Genevieve Mendoza,98,7/13/2026,Fail
a3TUS00000B4n5U,Design QA,QA-001,Mary Genevieve Mendoza,100,7/13/2026,Pass
a3TUS00000B4n5V,Design QA,QA-001,Mary Genevieve Mendoza,100,7/13/2026,Pass
a3TUS00000B1jwK,Design QA,QA-001,Mary Genevieve Mendoza,100,6/3/2026,Pass
a3TUS00000B1bx0,Design QA,QA-001,Mary Genevieve Mendoza,100,9/4/2026,Pass
a3TiL0000000CkL,Design QA,QA-001,Mary Genevieve Mendoza,99,9/9/2026,Fail
a3TUS00000B1aRD,Design QA,QA-001,Mary Genevieve Mendoza,100,8/11/2026,Pass
a3TUS00000B0rUX,Design QA,QA-001,Mary Genevieve Mendoza,100,6/5/2026,Pass
a3TUS00000B0ujN,Design QA,QA-001,Mary Genevieve Mendoza,100,6/16/2026,Pass
a3TUS00000BrgXT,Design QA,QA-001,Mary Genevieve Mendoza,100,7/17/2026,Pass
a3TUS00000B19cR,Design QA,QA-001,Mary Genevieve Mendoza,100,8/28/2026,Pass
